episode,last reward,average reward,step0,step1,step2,step3
-5.839157127163707,-7.985663931913374,-7.799259259528645,-7.665785570479755,
5,-108.08608409580224,-109.39501880733712,-6.299394501345204,-7.633193464209067,-8.287255867034771,-8.694007802260513,
10,-91.16448622975237,-97.94911653553363,-6.466229877758556,-7.692053772061716,-8.622552841080026,-8.4634316507448,
15,-114.963052184224,-87.42888928952814,-6.562249124189296,-8.072477490713473,-8.415084313518472,-8.810607301332322,
20,-81.9822555972868,-78.76015516227538,-6.679689375933903,-8.190397895146855,-8.29995874063646,-8.775372702800393,
25,-96.96182426014168,-69.6298637802442,-6.746994434613024,-8.390249168492009,-8.60840433126176,-8.255531550694927,
30,-57.009625252246174,-62.25981384317724,-7.32759097264134,-8.016658649761757,-8.294173109381974,-8.4281416275661,
35,-57.18339212542172,-56.99817125890997,-7.783913305211367,-8.850196610232684,-8.910121121654056,-9.2988203642069,
40,-44.18494881835288,-51.46698941982288,-6.993071685419898,-8.825253935147908,-9.379296447197634,-9.72800111921578,
45,-41.7790269602771,-47.23497383417815,-8.163492483667346,-8.644282460276061,-9.06153470258423,-9.142672671299383,
50,-45.27958013499431,-42.50407106912713,-7.636464706379872,-8.788307219034111,-9.379256839354845,-8.91016482418522,
55,-38.95870538381515,-39.02620697419347,-8.139116822064336,-8.13022539328355,-8.339328554135221,-9.254819165176075,
60,-41.70839889051053,-35.7900933663741,-7.9569157110500095,-8.734401948861677,-9.12038373883308,-9.152619431022966,
65,-40.16454132322604,-32.59655982795746,-8.198929658009412,-9.022858087145455,-8.757474426556959,-9.023614350203024,
70,-36.65598107783391,-30.09784587999703,-8.04932469865154,-8.970940489873863,-9.261560134545793,-9.487513760627856,
75,-24.5964932234822,-28.235999545258263,-8.30447789812988,-9.190125575112829,-9.749564181664665,-9.449015756507173,
80,-31.32360842367785,-26.183305479549983,-8.713396540364554,-8.747591050428754,-8.950122874190432,-8.88209191237537,
85,-17.228042798496475,-24.017367043851856,-8.498026277372357,-9.260515685741142,-9.04291588619251,-9.896373057188093,
90,-17.80138988665252,-22.585701788009455,-7.851898287652029,-9.792036957250135,-9.879912722744445,-9.551220156673619,
95,-18.488012466388817,-21.249159728284717,-8.384059326422395,-9.207136900768944,-9.720196968978641,-9.383544442463219,
100,-27.259653398486314,-20.033258570854375,-8.26538343578029,-9.811955355165484,-9.708757092379184,-10.161388793408694,
105,-15.382712808189213,-19.009998894696,-8.969578793112454,-9.75569911024342,-9.925747921903293,-9.605993614258642,
110,-15.53974746275879,-17.705277342322493,-7.9826885753082495,-8.291017232517,-9.279008559921479,-8.984762211519948,
115,-20.799894933168527,-17.014531655465984,-8.838243776865315,-8.833177214503381,-8.502765995685515,-8.693607722620708,
120,-16.03803791361863,-16.43449715054662,-7.5721623999722825,-8.2775586387927,-8.636104092491431,-8.961107287135517,
125,-22.410948704724145,-15.68064336260475,-7.544666645248468,-8.83457134163542,-8.757140879084469,-8.976988784707912,
130,-12.995278222014111,-14.745502153397197,-8.698814464996799,-8.345695908776015,-8.911699406627973,-8.331133073251786,
135,-14.40654425624084,-13.674658280047364,-8.021629403754012,-8.066441913279895,-8.454197930362188,-8.446541887896684,
140,-13.445677819296098,-13.428337429502937,-7.8173550714954345,-8.234568014843202,-8.271044949656494,-8.923354230877441,
145,-14.29804546855949,-12.955103929722359,-7.418775362794599,-8.426378031256958,-8.277646710663815,-8.971645496619226,
150,-8.414165264170371,-12.167834235410453,-8.28989907378914,-8.29100424913367,-8.132008481525148,-8.185289400964686,
155,-10.642754457591764,-11.808524344026088,-9.379906922283771,-8.241301583533362,-8.657813527016389,-8.109267747049433,
160,-9.396695528732053,-11.208497288797656,-6.9417246505539625,-7.9849717265853,-8.197376155181898,-8.359014651994672,
165,-7.2060480988347635,-10.712642058643906,-8.912344085244811,-8.66894072497758,-8.671674598325142,-8.237321098415768,
170,-8.956408091316623,-10.029863658315598,-7.160979309090437,-8.490464928817444,-8.664390350254696,-8.40723585805868,
175,-8.96679984265182,-10.015721690501294,-7.790280709096197,-8.28207115856627,-8.378691583521965,-8.316391374875465,
180,-8.64246151232157,-9.45909049475231,-7.936947622972244,-8.251921547208742,-8.775386929370402,-8.491285170564623,
185,-11.333292649090788,-9.165630063402757,-9.094109775699271,-8.207848255035763,-8.3916051640942,-7.922539975897625,
190,-8.973362889806788,-8.618620743663115,-8.806779688077055,-8.564793468448888,-8.704153254296122,-8.25496445233994,
195,-8.289604958006606,-8.090078588914798,-8.787162519543758,-8.080907444088286,-8.337016490036502,-8.09927154122515,
200,-6.711685409502695,-7.962521822935663,-7.193932418729565,-7.807102172107537,-8.071587724254181,-8.435227153819664,
205,-7.523090413111383,-8.042281619231012,-8.736565978951635,-8.361808960148444,-8.241373740826363,-8.653070377176808,
210,-3.9925277587676717,-7.513513720898673,-7.340961787551092,-8.171847009332401,-8.178788406981049,-8.51764246019167,
215,-5.220763777196552,-7.45556187695979,-7.608423530267931,-8.23221380283834,-9.225902155797204,-8.596783890134393,
220,-10.510471893583052,-7.382224122176022,-9.387997343344516,-9.073219514729711,-8.774163846476867,-8.33603159799739,
225,-7.558135642851063,-7.069627975441801,-7.5734273402292205,-8.377024354944806,-8.64418457982182,-8.490078887300927,
230,-8.763453009012215,-7.225342949834422,-7.6363360989999265,-8.546900180128388,-8.510823692960582,-8.690986892768588,
235,-4.317643045277134,-6.556280798905281,-7.147251923961569,-8.42002034173593,-8.584374067806714,-8.1847935039428,
240,-7.362172151678195,-6.379860666696461,-7.566962889006982,-8.195070378777256,-8.412383707890319,-8.527263314543603,
245,-14.384825571204146,-6.321052301476381,-9.418747952206454,-8.010627974595792,-7.970076943702132,-8.206260317058012,
